id_pub,anio,mes,cuenca,contrato,precio_distribuidora,precio_gnc,precio_usina,precio_industria,precio_otros,precio_ppp,precio_expo,indice_tiempo
129,2019,8,Austral Santa Cruz,TOTAL,3.01,2.80,2.74,3.23,3.76,3.07,4.93,2019-08
130,2019,8,Austral Tierra del Fuego,FIRME,3.38,2.83,2.38,3.22,0.00,3.10,0.00,2019-08
131,2019,8,Austral Tierra del Fuego,INTERRUMPIBLE,2.45,7.52,2.88,3.20,0.00,2.95,0.00,2019-08
132,2019,8,Austral Tierra del Fuego,TOTAL,3.38,2.83,2.48,3.21,0.00,3.09,0.00,2019-08
133,2019,8,Golfo de San Jorge,FIRME,3.49,3.02,2.78,4.02,0.00,3.68,0.00,2019-08
134,2019,8,Golfo de San Jorge,INTERRUMPIBLE,2.45,0.00,3.86,0.00,0.00,3.80,0.00,2019-08
135,2019,8,Golfo de San Jorge,TOTAL,3.48,3.02,3.05,4.02,0.00,3.69,0.00,2019-08
136,2019,8,Neuquina,FIRME,3.26,3.15,3.05,3.92,3.47,3.46,0.00,2019-08
137,2019,8,Neuquina,INTERRUMPIBLE,3.53,3.23,2.76,3.69,0.00,3.08,4.39,2019-08
138,2019,8,Neuquina,TOTAL,3.28,3.16,2.86,3.89,3.47,3.38,4.39,2019-08
139,2019,8,Noroeste,FIRME,3.60,3.08,4.76,4.82,0.00,4.49,0.00,2019-08
140,2019,8,Noroeste,INTERRUMPIBLE,4.95,0.00,3.84,4.53,0.00,4.56,0.00,2019-08
141,2019,8,Noroeste,TOTAL,3.98,3.08,4.42,4.77,0.00,4.50,0.00,2019-08
142,2019,8,Total Cuenca,FIRME,3.30,3.07,2.78,3.85,3.75,3.41,4.93,2019-08
143,2019,8,Total Cuenca,INTERRUMPIBLE,3.73,3.23,2.78,3.72,0.00,3.13,4.39,2019-08
144,2019,8,Total Cuenca,TOTAL,3.31,3.08,2.78,3.83,3.75,3.36,4.47,2019-08
145,2019,9,Austral Santa Cruz,FIRME,2.99,2.87,2.17,2.94,3.27,2.79,3.91,2019-09
146,2019,9,Austral Santa Cruz,INTERRUMPIBLE,3.13,0.00,1.87,2.10,2.75,2.01,0.00,2019-09
147,2019,9,Austral Santa Cruz,TOTAL,3.00,2.87,2.05,2.90,3.25,2.65,3.91,2019-09
148,2019,9,Austral Tierra del Fuego,FIRME,3.25,2.87,2.20,2.81,0.00,2.88,0.00,2019-09
149,2019,9,Austral Tierra del Fuego,INTERRUMPIBLE,3.02,2.61,2.02,3.05,0.00,2.46,0.00,2019-09
150,2019,9,Austral Tierra del Fuego,TOTAL,3.17,2.76,2.08,2.87,0.00,2.69,0.00,2019-09
151,2019,9,Golfo de San Jorge,FIRME,3.52,3.04,2.22,3.52,0.00,3.38,0.00,2019-09
152,2019,9,Golfo de San Jorge,INTERRUMPIBLE,2.98,0.00,3.26,3.30,0.00,3.10,0.00,2019-09
153,2019,9,Golfo de San Jorge,TOTAL,3.50,3.04,2.31,3.52,0.00,3.37,0.00,2019-09
154,2019,9,Neuquina,FIRME,3.24,3.12,2.01,3.68,3.53,3.35,4.49,2019-09
155,2019,9,Neuquina,INTERRUMPIBLE,3.30,3.03,2.11,2.43,0.00,2.49,4.49,2019-09
156,2019,9,Neuquina,TOTAL,3.25,3.09,2.09,3.46,3.53,3.07,4.49,2019-09
157,2019,9,Noroeste,FIRME,3.59,3.00,3.36,4.75,0.00,4.39,0.00,2019-09
158,2019,9,Noroeste,INTERRUMPIBLE,0.00,0.00,3.25,4.35,0.00,3.93,0.00,2019-09
159,2019,9,Noroeste,TOTAL,3.59,3.00,3.27,4.67,0.00,4.28,0.00,2019-09
160,2019,9,Total Cuenca,FIRME,3.25,3.07,2.15,3.59,3.28,3.26,4.00,2019-09
161,2019,9,Total Cuenca,INTERRUMPIBLE,3.19,2.94,2.09,2.75,2.75,2.50,4.49,2019-09
162,2019,9,Total Cuenca,TOTAL,3.24,3.03,2.11,3.45,3.26,3.02,4.47,2019-09
163,2019,10,Austral Santa Cruz,FIRME,2.96,2.89,2.26,2.19,3.31,2.40,3.19,2019-10
164,2019,10,Austral Santa Cruz,INTERRUMPIBLE,2.63,0.00,1.79,1.59,0.00,1.79,3.14,2019-10
165,2019,10,Austral Santa Cruz,TOTAL,2.95,2.89,2.02,2.16,3.31,2.25,3.18,2019-10
166,2019,10,Austral Tierra del Fuego,FIRME,2.92,2.66,2.06,2.19,0.00,2.49,0.00,2019-10
167,2019,10,Austral Tierra del Fuego,INTERRUMPIBLE,0.00,0.00,2.04,1.88,0.00,2.00,3.21,2019-10
168,2019,10,Austral Tierra del Fuego,TOTAL,2.92,2.66,2.04,2.08,0.00,2.29,3.21,2019-10
169,2019,10,Golfo de San Jorge,FIRME,3.11,3.13,2.22,2.52,0.00,2.66,0.00,2019-10
170,2019,10,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,0.00,0.00,0.00,0.00,5.41,2019-10
171,2019,10,Golfo de San Jorge,TOTAL,3.11,3.13,2.22,2.52,0.00,2.66,5.41,2019-10
172,2019,10,Neuquina,FIRME,3.11,3.02,2.23,2.77,1.93,2.85,4.49,2019-10
173,2019,10,Neuquina,INTERRUMPIBLE,2.77,2.74,1.81,1.90,0.00,2.03,3.33,2019-10
174,2019,10,Neuquina,TOTAL,3.02,2.96,1.89,2.65,1.93,2.55,3.53,2019-10
175,2019,10,Noroeste,FIRME,3.46,2.98,3.42,4.27,0.00,4.09,0.00,2019-10
176,2019,10,Noroeste,INTERRUMPIBLE,0.00,0.00,3.46,4.11,0.00,3.84,0.00,2019-10
177,2019,10,Noroeste,TOTAL,3.46,2.98,3.45,4.24,0.00,4.03,0.00,2019-10
178,2019,10,Total Cuenca,FIRME,3.06,2.97,2.18,2.76,3.24,2.79,3.60,2019-10
179,2019,10,Total Cuenca,INTERRUMPIBLE,2.77,2.74,1.90,2.10,0.00,2.06,3.42,2019-10
180,2019,10,Total Cuenca,TOTAL,3.01,2.93,1.98,2.66,3.24,2.54,3.48,2019-10
181,2019,11,Austral Santa Cruz,FIRME,2.91,2.80,2.31,2.16,3.15,2.35,3.07,2019-11
182,2019,11,Austral Santa Cruz,INTERRUMPIBLE,2.61,0.00,1.57,1.21,0.00,1.53,3.14,2019-11
183,2019,11,Austral Santa Cruz,TOTAL,2.90,2.80,1.94,2.07,3.15,2.14,3.08,2019-11
184,2019,11,Austral Tierra del Fuego,FIRME,3.15,2.57,2.02,2.12,0.00,2.46,0.00,2019-11
185,2019,11,Austral Tierra del Fuego,INTERRUMPIBLE,3.18,0.00,1.99,2.46,0.00,2.13,3.21,2019-11
186,2019,11,Austral Tierra del Fuego,TOTAL,3.15,2.57,2.00,2.25,0.00,2.32,3.21,2019-11
187,2019,11,Golfo de San Jorge,FIRME,3.52,2.99,2.06,2.88,0.00,2.83,0.00,2019-11
188,2019,11,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,0.00,1.52,0.00,1.52,0.00,2019-11
189,2019,11,Golfo de San Jorge,TOTAL,3.52,2.99,2.06,2.88,0.00,2.83,0.00,2019-11
190,2019,11,Neuquina,FIRME,3.18,2.89,2.04,2.77,1.84,2.81,3.93,2019-11
191,2019,11,Neuquina,INTERRUMPIBLE,3.54,2.80,1.78,1.69,2.39,1.80,3.35,2019-11
192,2019,11,Neuquina,TOTAL,3.19,2.88,1.83,2.67,1.88,2.48,3.59,2019-11
193,2019,11,Noroeste,FIRME,3.96,2.99,3.54,4.29,0.00,4.15,0.00,2019-11
194,2019,11,Noroeste,INTERRUMPIBLE,2.94,0.00,3.51,3.89,0.00,3.52,0.00,2019-11
195,2019,11,Noroeste,TOTAL,3.72,2.99,3.52,4.26,0.00,4.01,0.00,2019-11
196,2019,11,Total Cuenca,FIRME,3.20,2.84,2.10,2.76,3.05,2.77,3.54,2019-11
197,2019,11,Total Cuenca,INTERRUMPIBLE,3.23,2.80,1.86,2.04,2.39,1.92,3.31,2019-11
198,2019,11,Total Cuenca,TOTAL,3.21,2.84,1.93,2.67,3.04,2.50,3.42,2019-11
199,2019,12,Austral Santa Cruz,FIRME,2.85,2.76,2.32,2.27,2.81,2.37,2.94,2019-12
200,2019,12,Austral Santa Cruz,INTERRUMPIBLE,2.50,0.00,1.38,1.10,0.00,1.36,3.14,2019-12
201,2019,12,Austral Santa Cruz,TOTAL,2.81,2.76,1.84,2.16,2.81,2.13,2.97,2019-12
202,2019,12,Austral Tierra del Fuego,FIRME,3.09,2.40,1.92,2.37,0.00,2.29,0.00,2019-12
203,2019,12,Austral Tierra del Fuego,INTERRUMPIBLE,2.87,0.00,2.22,1.60,0.00,2.00,3.21,2019-12
204,2019,12,Austral Tierra del Fuego,TOTAL,3.09,2.40,1.97,2.24,0.00,2.26,3.21,2019-12
205,2019,12,Golfo de San Jorge,FIRME,3.41,3.04,2.11,2.90,0.00,2.91,3.14,2019-12
206,2019,12,Golfo de San Jorge,INTERRUMPIBLE,0.00,0.00,0.00,1.60,0.00,1.60,0.00,2019-12
207,2019,12,Golfo de San Jorge,TOTAL,3.41,3.04,2.11,2.90,0.00,2.91,3.14,2019-12
208,2019,12,Neuquina,FIRME,3.08,2.98,1.88,2.78,1.70,2.74,3.47,2019-12
209,2019,12,Neuquina,INTERRUMPIBLE,1.47,2.92,1.67,1.70,2.39,1.68,2.91,2019-12
210,2019,12,Neuquina,TOTAL,3.04,2.98,1.71,2.68,2.06,2.37,3.15,2019-12
211,2019,12,Noroeste,FIRME,3.89,2.86,3.42,4.23,0.00,4.09,0.00,2019-12
212,2019,12,Noroeste,INTERRUMPIBLE,2.94,0.00,3.48,3.59,0.00,3.50,0.00,2019-12
213,2019,12,Noroeste,TOTAL,3.83,2.86,3.48,4.18,0.00,3.99,0.00,2019-12
214,2019,12,Total Cuenca,FIRME,3.11,2.82,1.96,2.79,2.72,2.67,3.24,2019-12
215,2019,12,Total Cuenca,INTERRUMPIBLE,1.86,2.92,1.72,1.72,2.39,1.73,3.00,2019-12
216,2019,12,Total Cuenca,TOTAL,3.09,2.82,1.82,2.69,2.70,2.41,3.12,2019-12
217,2020,1,Austral Santa Cruz,FIRME,2.69,2.73,2.04,2.11,1.54,2.12,2.73,2020-01
218,2020,1,Austral Santa Cruz,INTERRUMPIBLE,2.40,0.00,1.30,1.20,0.00,1.31,3.00,2020-01
219,2020,1,Austral Santa Cruz,TOTAL,2.63,2.73,1.70,1.90,1.54,1.88,2.77,2020-01
